genre,count
k-pop,605
pop,597
k-pop boy group,333
k-pop girl group,272
reggaeton,211
urbano latino,211
trap latino,211
canadian pop,90
latin hip hop,69
trap chileno,35
urbano chileno,35
pop venezolano,31
latin pop,19
