song,artist,album,ms,genres
Sugar Rush Ride,TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,186570,"k-pop, k-pop boy group"
MOONLIGHT SUNRISE,TWICE,MOONLIGHT SUNRISE,180320,"k-pop, k-pop girl group, pop"
Caile,Bad Bunny,Caile,40167,"reggaeton, trap latino, urbano latino"
Intentions (feat. Quavo),Justin Bieber,Changes,0,"canadian pop, pop"
Beautiful Love - Free Fire,Justin Bieber,Beautiful Love,30373,"canadian pop, pop"
Honest (feat. Don Toliver),Justin Bieber,Honest,27750,"canadian pop, pop"
Holy (feat. Chance The Rapper),Justin Bieber,Holy,56773,"canadian pop, pop"
Red Eye (feat. TroyBoi),Justin Bieber,Justice - The Complete Edition,17691,"canadian pop, pop"
La Combi Completa (Live),Daddy Yankee,"2K20, Pt. 2 (Live)",169846,"latin hip hop, reggaeton, trap latino, urbano latino"
SET ME FREE,TWICE,READY TO BE,181680,"k-pop, k-pop girl group, pop"
SET ME FREE (ENG),TWICE,READY TO BE,8966,"k-pop, k-pop girl group, pop"
THE SOUND,Stray Kids,THE SOUND,180733,"k-pop, k-pop boy group, pop"
Battle Ground,Stray Kids,THE SOUND,17981,"k-pop, k-pop boy group, pop"
GOT THE THRILLS,TWICE,READY TO BE,1122,"k-pop, k-pop girl group, pop"
BLAME IT ON ME,TWICE,READY TO BE,113758,"k-pop, k-pop girl group, pop"
Lost Me,Stray Kids,THE SOUND,12852,"k-pop, k-pop boy group, pop"
Stars and Raindrops (Seungmin),Stray Kids,SKZ-REPLAY,229120,"k-pop, k-pop boy group, pop"
Hug Me (I.N),Stray Kids,SKZ-REPLAY,93600,"k-pop, k-pop boy group, pop"
#LoveSTAY,Stray Kids,SKZ-REPLAY,197480,"k-pop, k-pop boy group, pop"
"ZONE (Bang Chan, Changbin, HAN)",Stray Kids,SKZ-REPLAY,108519,"k-pop, k-pop boy group, pop"
Close (HAN),Stray Kids,SKZ-REPLAY,168555,"k-pop, k-pop boy group, pop"
HIBIKI,Bad Bunny,nadie sabe lo que va a pasar mañana,165957,"reggaeton, trap latino, urbano latino"
LALALALA,Stray Kids,ROCK-STAR,182224,"k-pop, k-pop boy group, pop"
BLIND SPOT,Stray Kids,ROCK-STAR,84718,"k-pop, k-pop boy group, pop"
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,231704,"reggaeton, trap latino, urbano latino"
N/S,Stray Kids,I am YOU,224042,"k-pop, k-pop boy group, pop"
Do It Like That,TOMORROW X TOGETHER,The Name Chapter: FREEFALL,11210,"k-pop, k-pop boy group"
Back for More (with Anitta),TOMORROW X TOGETHER,Back for More (with Anitta),50818,"k-pop, k-pop boy group"
Back for More (with Anitta) (Performance Ver.),TOMORROW X TOGETHER,Back for More (with Anitta),172438,"k-pop, k-pop boy group"
NO ME QUIERO CASAR,Bad Bunny,nadie sabe lo que va a pasar mañana,225654,"reggaeton, trap latino, urbano latino"
PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,162767,"reggaeton, trap latino, urbano latino"
UN PREVIEW,Bad Bunny,nadie sabe lo que va a pasar mañana,165582,"reggaeton, trap latino, urbano latino"
LA DROGA,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,25229,"reggaeton, trap latino, urbano latino"
Hare Hare,TWICE,Hare Hare,203546,"k-pop, k-pop girl group, pop"
Social Path,Stray Kids,Social Path,198786,"k-pop, k-pop boy group, pop"
FINA,Bad Bunny,nadie sabe lo que va a pasar mañana,216327,"reggaeton, trap latino, urbano latino"
No Es Culpa Mía,Daddy Yankee,Talento de Barrio,7824,"latin hip hop, reggaeton, trap latino, urbano latino"
ITEM,Stray Kids,5-STAR,18,"k-pop, k-pop boy group, pop"
GET LIT,Stray Kids,5-STAR,171000,"k-pop, k-pop boy group, pop"
